time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,16,7,3,3
2026-06-12 00:00:00+00:00,32,8,2,2
2026-06-13 00:00:00+00:00,9,4,6,6
2026-06-14 00:00:00+00:00,2,2,0,0
2026-06-15 00:00:00+00:00,6,4,2,2
2026-06-16 00:00:00+00:00,3,3,0,0
2026-06-17 00:00:00+00:00,0,0,21,17
2026-06-18 00:00:00+00:00,0,0,5,5
2026-06-19 00:00:00+00:00,1,1,8,8
2026-06-20 00:00:00+00:00,0,0,13,13
2026-06-21 00:00:00+00:00,0,0,1,1
2026-06-22 00:00:00+00:00,9,9,1,1
2026-06-23 00:00:00+00:00,2,2,7,7
2026-06-24 00:00:00+00:00,1,1,0,0
