url_path,views_total,views_unique
/brian-team/brian2genn,8,6
/brian-team/brian2genn/issues,3,3
/brian-team/brian2genn/blob/master/docs_sphinx/introduction/index.rst,2,1
/brian-team/brian2genn/actions/workflows/testsuite.yml,1,1
/brian-team/brian2genn/blob/1.2/docs_sphinx/reference/brian2genn.device.get_compile_args.rst,1,1
/brian-team/brian2genn/blob/master/brian2genn/device.py,1,1
/brian-team/brian2genn/issues/43,1,1
/brian-team/brian2genn/issues/59,1,1
/brian-team/brian2genn/tree/master/brian2genn,1,1
