time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-12 00:00:00+00:00,0,0,3,3
2026-01-13 00:00:00+00:00,0,0,8,4
2026-01-14 00:00:00+00:00,0,0,19,4
2026-01-15 00:00:00+00:00,2,2,4,3
2026-01-16 00:00:00+00:00,0,0,5,3
2026-01-17 00:00:00+00:00,0,0,1,1
2026-01-18 00:00:00+00:00,1,1,1,1
2026-01-19 00:00:00+00:00,6,6,15,6
2026-01-20 00:00:00+00:00,1,1,0,0
2026-01-21 00:00:00+00:00,9,6,5,4
2026-01-22 00:00:00+00:00,0,0,6,5
2026-01-23 00:00:00+00:00,1,1,7,5
2026-01-24 00:00:00+00:00,2,2,0,0
2026-01-25 00:00:00+00:00,1,1,1,1
