url_path,views_total,views_unique
/brian-team/brian2cuda,31,21
/brian-team/brian2cuda/actions,11,1
/brian-team/brian2cuda/issues,10,6
/brian-team/brian2cuda/actions/runs/27303721833/job/80655877072,8,1
/brian-team/brian2cuda/actions/runs/27307221415,5,1
/brian-team/brian2cuda/blob/master/brian2cuda/templates/win_makefile,5,1
/brian-team/brian2cuda/actions/runs/27303721833/job/80655877116,4,1
/brian-team/brian2cuda/tree/master/frozen_repos,4,1
/brian-team/brian2cuda/tree/master/brian2cuda,3,3
/brian-team/brian2cuda/actions/runs/27301998213/job/80649915321,3,1
