url_path,views_total,views_unique
/brian-team/brian2cuda/actions,37,1
/brian-team/brian2cuda,36,14
/brian-team/brian2cuda/compare/master...issue-225-windows-support,15,1
/brian-team/brian2cuda/issues,13,4
/brian-team/brian2cuda/tree/issue-225-windows-support,13,1
/brian-team/brian2cuda/actions/workflows/platform_build.yml,10,1
/brian-team/brian2cuda/pulls,9,2
/brian-team/brian2cuda/actions/runs/27365676618,9,1
/brian-team/brian2cuda/actions/runs/27303721833/job/80655877072,8,1
/brian-team/brian2cuda/actions/runs/27307221415,5,1
