referrer,views_total,views_unique
github.com,84,9
Google,72,24
neurostars.org,19,6
brian2cuda.readthedocs.io,6,2
annarchy.github.io,4,1
search.brave.com,3,1
Bing,2,2
brian.discourse.group,1,1
