time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,45,2,7,7
2026-08-05 00:00:00+00:00,6,6,21,14
2026-08-06 00:00:00+00:00,2,2,11,6
2026-08-07 00:00:00+00:00,25,7,7,6
2026-08-08 00:00:00+00:00,5,5,2,2
2026-08-09 00:00:00+00:00,9,4,3,3
2026-08-10 00:00:00+00:00,1,1,5,5
2026-08-11 00:00:00+00:00,20,7,28,5
2026-08-12 00:00:00+00:00,4,4,8,4
2026-08-13 00:00:00+00:00,4,3,10,5
2026-08-14 00:00:00+00:00,5,5,19,6
2026-08-15 00:00:00+00:00,26,7,29,3
2026-08-16 00:00:00+00:00,23,14,24,3
2026-08-17 00:00:00+00:00,12,5,29,5
