time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-19 00:00:00+00:00,4.0,4.0,8,4
2025-09-20 00:00:00+00:00,8.0,6.0,2,2
2025-09-21 00:00:00+00:00,2.0,2.0,3,3
2025-09-22 00:00:00+00:00,2.0,2.0,60,6
2025-09-23 00:00:00+00:00,3.0,3.0,4,3
2025-09-24 00:00:00+00:00,,,1,1
2025-09-25 00:00:00+00:00,6.0,4.0,1,1
2025-09-26 00:00:00+00:00,1.0,1.0,4,3
2025-09-28 00:00:00+00:00,1.0,1.0,1,1
2025-09-29 00:00:00+00:00,3.0,3.0,5,4
2025-09-30 00:00:00+00:00,6.0,6.0,16,5
2025-10-01 00:00:00+00:00,6.0,4.0,7,3
2025-10-02 00:00:00+00:00,,,3,1
