time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,2,1,23,9
2026-07-31 00:00:00+00:00,11,2,31,3
2026-08-01 00:00:00+00:00,3,3,3,3
2026-08-02 00:00:00+00:00,50,7,8,7
2026-08-03 00:00:00+00:00,4,4,46,32
2026-08-04 00:00:00+00:00,45,2,7,7
2026-08-05 00:00:00+00:00,6,6,21,14
2026-08-06 00:00:00+00:00,2,2,11,6
2026-08-07 00:00:00+00:00,25,7,7,6
2026-08-08 00:00:00+00:00,5,5,2,2
2026-08-09 00:00:00+00:00,9,4,3,3
2026-08-10 00:00:00+00:00,1,1,5,5
2026-08-11 00:00:00+00:00,20,7,28,5
2026-08-12 00:00:00+00:00,4,4,8,4
