time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,5,4,9,6
2026-07-01 00:00:00+00:00,6,5,5,5
2026-07-02 00:00:00+00:00,34,6,4,1
2026-07-03 00:00:00+00:00,6,6,69,5
2026-07-04 00:00:00+00:00,4,3,0,0
2026-07-05 00:00:00+00:00,4,4,5,4
2026-07-06 00:00:00+00:00,4,4,3,3
2026-07-07 00:00:00+00:00,0,0,5,4
2026-07-08 00:00:00+00:00,8,3,13,3
2026-07-09 00:00:00+00:00,11,7,6,1
2026-07-10 00:00:00+00:00,12,11,14,4
2026-07-11 00:00:00+00:00,11,8,2,2
2026-07-12 00:00:00+00:00,4,4,3,2
2026-07-13 00:00:00+00:00,31,15,9,2
