time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,14,14,1,1
2026-02-11 00:00:00+00:00,7,4,3,3
2026-02-12 00:00:00+00:00,2,2,2,2
2026-02-13 00:00:00+00:00,2,1,2,2
2026-02-14 00:00:00+00:00,0,0,0,0
2026-02-15 00:00:00+00:00,7,7,3,3
2026-02-16 00:00:00+00:00,10,9,6,2
2026-02-17 00:00:00+00:00,8,8,20,1
2026-02-18 00:00:00+00:00,2,2,8,5
2026-02-19 00:00:00+00:00,21,17,2,2
2026-02-20 00:00:00+00:00,0,0,8,2
2026-02-21 00:00:00+00:00,28,23,1,1
2026-02-22 00:00:00+00:00,5,5,2,2
2026-02-23 00:00:00+00:00,19,18,6,3
