time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,43,9,37,4
2026-06-17 00:00:00+00:00,3,3,10,5
2026-06-18 00:00:00+00:00,5,3,18,4
2026-06-19 00:00:00+00:00,118,23,102,4
2026-06-20 00:00:00+00:00,8,7,14,1
2026-06-21 00:00:00+00:00,14,13,1,1
2026-06-22 00:00:00+00:00,27,11,21,8
2026-06-23 00:00:00+00:00,2,1,9,4
2026-06-24 00:00:00+00:00,4,4,33,9
2026-06-25 00:00:00+00:00,47,17,32,4
2026-06-26 00:00:00+00:00,66,18,38,6
2026-06-27 00:00:00+00:00,5,3,8,4
2026-06-28 00:00:00+00:00,2,2,7,4
2026-06-29 00:00:00+00:00,4,4,4,4
