time_iso8601,forks_cumulative
2018-05-12 00:00:00+00:00,1
2020-04-06 00:00:00+00:00,2
2021-03-21 00:00:00+00:00,3
2021-03-23 00:00:00+00:00,4
2021-04-07 00:00:00+00:00,5
2022-05-22 00:00:00+00:00,6
