referrer,views_total,views_unique
Google,195,68
github.com,72,23
briansimulator.org,13,10
Bing,11,7
open-neuromorphic.org,10,7
yandex.ru,6,3
search.brave.com,5,2
brian2.readthedocs.io,5,2
pypi.org,4,1
mail.qq.com,3,1
