time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,72,16,18,13
2026-08-17 00:00:00+00:00,33,23,56,42
2026-08-18 00:00:00+00:00,87,47,34,19
2026-08-19 00:00:00+00:00,38,24,129,29
2026-08-20 00:00:00+00:00,242,59,51,48
2026-08-21 00:00:00+00:00,1076,67,39,25
2026-08-22 00:00:00+00:00,69,35,45,34
2026-08-23 00:00:00+00:00,97,44,83,31
2026-08-24 00:00:00+00:00,22,19,76,53
2026-08-25 00:00:00+00:00,48,26,107,50
2026-08-26 00:00:00+00:00,26,23,72,37
2026-08-27 00:00:00+00:00,43,26,67,28
2026-08-28 00:00:00+00:00,245,53,32,20
2026-08-29 00:00:00+00:00,217,62,34,25
