time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,99,76,33,26
2025-11-02 00:00:00+00:00,27,9,26,23
2025-11-03 00:00:00+00:00,324,49,22,20
2025-11-04 00:00:00+00:00,243,34,42,25
2025-11-05 00:00:00+00:00,38,26,34,22
2025-11-06 00:00:00+00:00,269,100,35,19
2025-11-07 00:00:00+00:00,70,59,39,20
2025-11-08 00:00:00+00:00,42,24,24,20
2025-11-09 00:00:00+00:00,32,12,30,17
2025-11-10 00:00:00+00:00,230,51,73,21
2025-11-11 00:00:00+00:00,30,19,28,20
2025-11-12 00:00:00+00:00,115,30,47,25
2025-11-13 00:00:00+00:00,165,33,60,37
2025-11-14 00:00:00+00:00,179,31,81,20
