time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,199,37,195,35
2026-03-25 00:00:00+00:00,43,26,99,38
2026-03-26 00:00:00+00:00,95,8,163,40
2026-03-27 00:00:00+00:00,34,20,140,30
2026-03-28 00:00:00+00:00,20,16,185,34
2026-03-29 00:00:00+00:00,41,21,117,21
2026-03-30 00:00:00+00:00,86,34,123,38
2026-03-31 00:00:00+00:00,78,48,125,33
2026-04-01 00:00:00+00:00,510,77,106,26
2026-04-02 00:00:00+00:00,35,27,194,37
2026-04-03 00:00:00+00:00,101,61,58,35
2026-04-04 00:00:00+00:00,56,42,39,23
2026-04-05 00:00:00+00:00,52,25,75,20
2026-04-06 00:00:00+00:00,29,26,54,23
