time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-10 00:00:00+00:00,63,8,48,21
2025-09-11 00:00:00+00:00,133,25,94,28
2025-09-12 00:00:00+00:00,59,21,39,18
2025-09-13 00:00:00+00:00,5,5,33,15
2025-09-14 00:00:00+00:00,105,7,33,9
2025-09-15 00:00:00+00:00,198,35,66,26
2025-09-16 00:00:00+00:00,105,19,116,26
2025-09-17 00:00:00+00:00,31,21,87,20
2025-09-18 00:00:00+00:00,98,44,40,18
2025-09-19 00:00:00+00:00,226,32,60,16
2025-09-20 00:00:00+00:00,33,15,26,19
2025-09-21 00:00:00+00:00,120,29,16,15
2025-09-22 00:00:00+00:00,483,39,57,19
2025-09-23 00:00:00+00:00,109,31,13,10
