referrer,views_total,views_unique
Google,108,51
github.com,62,22
search.brave.com,21,2
briansimulator.org,16,9
brian2.readthedocs.io,15,13
chatgpt.com,10,3
Bing,7,5
en.wikipedia.org,6,1
neurostars.org,4,1
ecosia.org,3,2
