referrer,views_total,views_unique
Google,142,58
github.com,54,22
en.wikipedia.org,28,2
Bing,14,6
briansimulator.org,10,8
brian2.readthedocs.io,8,6
DuckDuckGo,8,4
pypi.org,8,2
open-neuromorphic.org,4,4
chatgpt.com,4,3
