time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-19 00:00:00+00:00,2,2,25,13
2025-04-20 00:00:00+00:00,19,1,23,11
2025-04-21 00:00:00+00:00,59,6,27,14
2025-04-22 00:00:00+00:00,29,5,35,16
2025-04-23 00:00:00+00:00,39,12,38,17
2025-04-24 00:00:00+00:00,37,4,57,17
2025-04-25 00:00:00+00:00,113,8,43,20
2025-04-26 00:00:00+00:00,4,4,41,13
2025-04-27 00:00:00+00:00,2,2,32,15
2025-04-28 00:00:00+00:00,389,20,41,21
2025-04-29 00:00:00+00:00,183,22,38,18
2025-04-30 00:00:00+00:00,133,8,39,18
2025-05-01 00:00:00+00:00,95,9,11,9
2025-05-02 00:00:00+00:00,6,3,32,15
