referrer,views_total,views_unique
Google,93,34
github.com,58,23
open-neuromorphic.org,28,3
briansimulator.org,27,6
brian2.readthedocs.io,20,9
brian.discourse.group,17,6
Bing,14,10
DuckDuckGo,10,1
en.wikipedia.org,3,2
docs.neuroml.org,2,1
