time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-04 00:00:00+00:00,599,59,67,34
2025-12-05 00:00:00+00:00,213,68,42,19
2025-12-06 00:00:00+00:00,28,20,70,21
2025-12-07 00:00:00+00:00,44,23,34,17
2025-12-08 00:00:00+00:00,43,32,125,30
2025-12-09 00:00:00+00:00,45,18,56,17
2025-12-10 00:00:00+00:00,14,11,92,26
2025-12-11 00:00:00+00:00,27,21,76,23
2025-12-12 00:00:00+00:00,63,35,34,18
2025-12-13 00:00:00+00:00,5,5,40,14
2025-12-14 00:00:00+00:00,51,11,36,18
2025-12-15 00:00:00+00:00,31,15,103,30
2025-12-16 00:00:00+00:00,26,23,36,20
2025-12-17 00:00:00+00:00,64,12,44,21
