referrer,views_total,views_unique
Google,173,77
github.com,119,27
briansimulator.org,20,10
brian2.readthedocs.io,20,7
brian.discourse.group,14,5
DuckDuckGo,13,7
Bing,12,5
cn.bing.com,10,4
chatgpt.com,9,6
yandex.ru,2,1
