url_path,views_total,views_unique
/brian-team/brian2,193,127
/brian-team/brian2/issues,56,31
/brian-team/brian2/blob/master/brian2/groups/neurongroup.py,46,19
/brian-team/brian2/tree/master/brian2,40,24
/brian-team/brian2/tree/master/brian2/groups,20,8
/brian-team/brian2/pulls,19,14
/brian-team/brian2/tree/master/examples,14,10
/brian-team/brian2/blob/master/tutorials/1-intro-to-brian-neurons.ipynb,9,7
/brian-team/brian2/pull/1769,9,5
/brian-team/brian2/blob/master/brian2/equations/equations.py,9,4
