referrer,views_total,views_unique
Google,213,74
github.com,73,22
Bing,11,7
open-neuromorphic.org,10,7
briansimulator.org,8,7
yandex.ru,6,3
cn.bing.com,5,2
brian2.readthedocs.io,5,2
mail.qq.com,3,1
qiita.com,2,2
