time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,59,41,26,22
2026-05-27 00:00:00+00:00,241,26,38,24
2026-05-28 00:00:00+00:00,41,34,55,33
2026-05-29 00:00:00+00:00,476,51,41,33
2026-05-30 00:00:00+00:00,141,84,37,29
2026-05-31 00:00:00+00:00,67,23,68,34
2026-06-01 00:00:00+00:00,454,68,27,26
2026-06-02 00:00:00+00:00,109,61,20,18
2026-06-03 00:00:00+00:00,49,36,47,21
2026-06-04 00:00:00+00:00,194,76,6,5
2026-06-05 00:00:00+00:00,76,18,37,12
2026-06-06 00:00:00+00:00,132,33,49,15
2026-06-07 00:00:00+00:00,79,32,29,18
2026-06-08 00:00:00+00:00,252,124,45,26
