referrer,views_total,views_unique
Google,125,70
github.com,108,25
brian2.readthedocs.io,20,7
briansimulator.org,18,9
chatgpt.com,13,8
Bing,10,6
yandex.ru,10,2
gemini.google.com,7,3
DuckDuckGo,6,6
cn.bing.com,4,4
