referrer,views_total,views_unique
Google,146,67
github.com,91,31
brian2.readthedocs.io,21,8
briansimulator.org,14,7
brian.discourse.group,13,4
DuckDuckGo,12,6
Bing,9,5
cn.bing.com,8,2
chatgpt.com,6,3
open-neuromorphic.org,4,1
