referrer,views_total,views_unique
Google,367,98
github.com,276,47
neurostars.org,108,20
brian2.readthedocs.io,43,22
theregister.com,27,24
chatgpt.com,24,8
Bing,18,11
search.brave.com,13,2
briansimulator.org,12,6
DuckDuckGo,8,6
