time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-07 00:00:00+00:00,13,9,40,24
2025-05-08 00:00:00+00:00,7,7,99,22
2025-05-09 00:00:00+00:00,93,7,24,16
2025-05-10 00:00:00+00:00,2,2,17,9
2025-05-11 00:00:00+00:00,20,2,18,14
2025-05-12 00:00:00+00:00,34,9,41,15
2025-05-13 00:00:00+00:00,30,2,29,19
2025-05-14 00:00:00+00:00,105,23,34,14
2025-05-15 00:00:00+00:00,90,23,78,18
2025-05-16 00:00:00+00:00,20,3,56,29
2025-05-17 00:00:00+00:00,4,4,40,13
2025-05-18 00:00:00+00:00,24,4,20,14
2025-05-19 00:00:00+00:00,121,13,29,19
2025-05-20 00:00:00+00:00,14,11,47,17
