time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-24 00:00:00+00:00,169,20,42,17
2025-07-25 00:00:00+00:00,84,21,36,13
2025-07-26 00:00:00+00:00,38,14,13,9
2025-07-27 00:00:00+00:00,22,4,24,10
2025-07-28 00:00:00+00:00,231,18,35,17
2025-07-29 00:00:00+00:00,3,3,71,16
2025-07-30 00:00:00+00:00,28,5,50,22
2025-07-31 00:00:00+00:00,80,17,62,24
2025-08-01 00:00:00+00:00,92,21,29,13
2025-08-02 00:00:00+00:00,23,11,8,6
2025-08-03 00:00:00+00:00,29,8,16,10
2025-08-04 00:00:00+00:00,117,10,55,17
2025-08-05 00:00:00+00:00,71,11,25,11
2025-08-06 00:00:00+00:00,54,13,24,9
