time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,1076,67,39,25
2026-08-22 00:00:00+00:00,69,35,45,34
2026-08-23 00:00:00+00:00,97,44,83,31
2026-08-24 00:00:00+00:00,22,19,76,53
2026-08-25 00:00:00+00:00,48,26,107,50
2026-08-26 00:00:00+00:00,26,23,72,37
2026-08-27 00:00:00+00:00,43,26,67,28
2026-08-28 00:00:00+00:00,245,53,32,20
2026-08-29 00:00:00+00:00,217,62,34,25
2026-08-30 00:00:00+00:00,79,35,28,22
2026-08-31 00:00:00+00:00,698,142,40,27
2026-09-01 00:00:00+00:00,309,84,64,50
2026-09-02 00:00:00+00:00,804,152,55,42
2026-09-03 00:00:00+00:00,699,34,70,64
