referrer,views_total,views_unique
Google,80,38
github.com,46,22
brian2.readthedocs.io,16,11
chatgpt.com,5,5
briansimulator.org,4,4
en.wikipedia.org,4,2
Bing,3,2
open-neuromorphic.org,2,2
pypi.org,2,2
search.brave.com,2,1
