referrer,views_total,views_unique
Google,154,72
github.com,76,30
open-neuromorphic.org,30,1
brian2.readthedocs.io,19,12
search.brave.com,18,3
brian.discourse.group,14,2
briansimulator.org,13,6
pypi.org,6,3
Bing,4,4
chatgpt.com,4,3
