referrer,views_total,views_unique
github.com,78,23
Google,71,44
brian2.readthedocs.io,32,13
Bing,16,6
chatgpt.com,8,6
briansimulator.org,8,5
brian.discourse.group,3,2
perplexity.ai,3,2
Yahoo,3,1
snn.hirlab.net,3,1
