time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-04 00:00:00+00:00,54,25,23,19
2026-01-05 00:00:00+00:00,290,54,86,29
2026-01-06 00:00:00+00:00,104,28,89,25
2026-01-07 00:00:00+00:00,16,13,111,28
2026-01-08 00:00:00+00:00,23,19,58,26
2026-01-09 00:00:00+00:00,31,18,58,23
2026-01-10 00:00:00+00:00,8,6,32,18
2026-01-11 00:00:00+00:00,24,5,29,17
2026-01-12 00:00:00+00:00,9,8,31,26
2026-01-13 00:00:00+00:00,154,35,105,37
2026-01-14 00:00:00+00:00,25,22,48,27
2026-01-15 00:00:00+00:00,2,2,24,18
2026-01-16 00:00:00+00:00,12,11,67,22
2026-01-17 00:00:00+00:00,6,5,34,13
