time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,309,84,64,50
2026-09-02 00:00:00+00:00,804,152,55,42
2026-09-03 00:00:00+00:00,699,34,70,64
2026-09-04 00:00:00+00:00,64,26,78,31
2026-09-05 00:00:00+00:00,630,77,52,44
2026-09-06 00:00:00+00:00,289,70,40,35
2026-09-07 00:00:00+00:00,118,68,39,33
2026-09-08 00:00:00+00:00,86,47,42,35
2026-09-09 00:00:00+00:00,74,40,51,42
2026-09-10 00:00:00+00:00,38,25,49,35
2026-09-11 00:00:00+00:00,148,51,113,60
2026-09-12 00:00:00+00:00,156,62,82,68
2026-09-13 00:00:00+00:00,179,79,61,47
2026-09-14 00:00:00+00:00,325,71,70,48
