referrer,views_total,views_unique
Google,142,55
github.com,82,24
chatgpt.com,31,8
briansimulator.org,20,6
pypi.org,11,2
yandex.ru,8,1
gemini.google.com,7,3
DuckDuckGo,5,3
open-neuromorphic.org,4,2
brian2.readthedocs.io,3,3
