url_path,views_total,views_unique
/brian-team/brian2,261,191
/brian-team/brian2/issues,51,14
/brian-team/brian2/blob/master/CONTRIBUTORS,47,47
/brian-team/brian2/pulls,24,12
/brian-team/brian2/pull/1769,20,5
/brian-team/brian2/tree/master/brian2,12,7
/brian-team/brian2/blob/finalize_functions/brian2/codegen/languages/cpp_lang.py,6,6
/brian-team/brian2/blob/master/docs_sphinx/developer/notes/refractoriness_and_linearity.rst,6,6
/brian-team/brian2/blob/master/tutorials/1-intro-to-brian-neurons.ipynb,6,6
/brian-team/brian2/tree/master/examples,6,6
