referrer,views_total,views_unique
Google,132,55
github.com,126,35
brian2.readthedocs.io,57,19
DuckDuckGo,27,9
chatgpt.com,15,4
briansimulator.org,13,5
brian.discourse.group,12,6
perplexity.ai,10,1
Bing,7,6
snn.hirlab.net,5,1
