referrer,views_total,views_unique
Google,283,70
github.com,274,45
brian2.readthedocs.io,48,19
neurostars.org,46,8
chatgpt.com,33,9
briansimulator.org,31,8
Bing,15,7
theregister.com,10,6
en.wikipedia.org,9,3
DuckDuckGo,6,4
