url_path,views_total,views_unique
/brian-team/brian2,154,124
/brian-team/brian2/tree/master/brian2,20,12
/brian-team/brian2/issues,19,14
/brian-team/brian2/tree/master/examples,17,11
/brian-team/brian2/tree/master/brian2/core,9,7
/brian-team/brian2/blob/master/brian2/spatialneuron/morphology.py,9,1
/brian-team/brian2/tree/master,6,4
/brian-team/brian2/blob/master/examples/compartmental/bipolar_cell.py,6,1
/brian-team/brian2/blob/master/brian2/core/network.py,5,5
/brian-team/brian2/tree/master/examples/standalone,5,4
