time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-13 00:00:00+00:00,30,2,29,19
2025-05-14 00:00:00+00:00,105,23,34,14
2025-05-15 00:00:00+00:00,90,23,78,18
2025-05-16 00:00:00+00:00,20,3,56,29
2025-05-17 00:00:00+00:00,4,4,40,13
2025-05-18 00:00:00+00:00,24,4,20,14
2025-05-19 00:00:00+00:00,121,13,29,19
2025-05-20 00:00:00+00:00,18,12,51,18
2025-05-21 00:00:00+00:00,3,2,49,16
2025-05-22 00:00:00+00:00,2,2,27,17
2025-05-23 00:00:00+00:00,7,7,12,10
2025-05-24 00:00:00+00:00,16,8,18,6
2025-05-25 00:00:00+00:00,23,5,38,15
2025-05-26 00:00:00+00:00,62,8,46,23
