url_path,views_total,views_unique
/brian-team/brian2tools,19,17
/brian-team/brian2tools/tree/master/brian2tools,15,4
/brian-team/brian2tools/tree/master/brian2tools/baseexport,8,4
/brian-team/brian2tools/tree/master/brian2tools/mdexport,5,2
/brian-team/brian2tools/tree/master/dev,5,1
/brian-team/brian2tools/blob/master/brian2tools/baseexport/collector.py,4,3
/brian-team/brian2tools/tree/master/brian2tools/nmlimport,4,2
/brian-team/brian2tools/blob/master/brian2tools/baseexport/device.py,3,3
/brian-team/brian2tools/issues,3,3
/brian-team/brian2tools/blob/master/brian2tools/mdexport/expander.py,3,2
