url_path,views_total,views_unique
/brian-team/brian2tools,7,5
/brian-team/brian2tools/pulls,5,3
/brian-team/brian2tools/issues,4,4
/brian-team/brian2tools/blob/e3ae285c5cee0f03444b7a1a3211add99878db46/docs_sphinx/user/plotting.rst,2,1
/brian-team/brian2tools/blob/0.2.1.1/docs_sphinx/reference/brian2tools.plotting.base.rst,1,1
/brian-team/brian2tools/blob/0.2.1.1/docs_sphinx/reference/brian2tools.rst,1,1
/brian-team/brian2tools/blob/master/.github/workflows/static_analysis.yml,1,1
/brian-team/brian2tools/issues/45,1,1
/brian-team/brian2tools/issues/8,1,1
/brian-team/brian2tools/labels,1,1
