time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,3,3,27,9
2026-03-09 00:00:00+00:00,3,2,39,7
2026-03-10 00:00:00+00:00,2,2,44,9
2026-03-11 00:00:00+00:00,1,1,16,7
2026-03-12 00:00:00+00:00,1,1,17,6
2026-03-13 00:00:00+00:00,3,3,12,5
2026-03-14 00:00:00+00:00,10,9,104,9
2026-03-15 00:00:00+00:00,1,1,26,6
2026-03-16 00:00:00+00:00,3,3,62,4
2026-03-17 00:00:00+00:00,108,33,94,9
2026-03-18 00:00:00+00:00,39,22,248,13
2026-03-19 00:00:00+00:00,3,3,32,11
2026-03-20 00:00:00+00:00,2,2,31,11
2026-03-21 00:00:00+00:00,32,21,184,7
