url_path,views_total,views_unique
/brian-team/brian2tools/issues,22,21
/brian-team/brian2tools/tree/master/docs_sphinx,21,1
/brian-team/brian2tools/tree/master/docs_sphinx/user,14,1
/brian-team/brian2tools/blob/master/docs_sphinx/index.rst,11,1
/brian-team/brian2tools/blob/master/docs_sphinx/user/index.rst,8,1
/brian-team/brian2tools/tree/master,8,1
/brian-team/brian2tools/blob/master/docs_sphinx/user/installation.rst,6,1
/brian-team/brian2tools/pulls,5,1
/brian-team/brian2tools,4,3
/brian-team/brian2tools/blob/master/docs_sphinx/release_notes.rst,4,1
