time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-23 00:00:00+00:00,1,1,4,1
2026-02-24 00:00:00+00:00,0,0,4,3
2026-02-25 00:00:00+00:00,2,1,1,1
2026-02-26 00:00:00+00:00,1,1,13,7
2026-02-27 00:00:00+00:00,3,3,37,9
2026-02-28 00:00:00+00:00,7,7,17,5
2026-03-01 00:00:00+00:00,9,9,112,12
2026-03-02 00:00:00+00:00,4,4,39,8
2026-03-03 00:00:00+00:00,2,1,15,5
2026-03-04 00:00:00+00:00,3,2,13,3
2026-03-05 00:00:00+00:00,3,3,75,9
2026-03-06 00:00:00+00:00,2,1,19,8
2026-03-07 00:00:00+00:00,4,3,15,8
2026-03-08 00:00:00+00:00,3,3,27,9
