url_path,views_total,views_unique
/brian-team/brian2tools,49,30
/brian-team/brian2tools/issues,18,15
/brian-team/brian2tools/tree/master/brian2tools,7,4
/brian-team/brian2tools/pulse,5,3
/brian-team/brian2tools/issues/45,4,4
/brian-team/brian2tools/graphs/contributors,3,3
/brian-team/brian2tools/tree/master/brian2tools/baseexport,3,2
/brian-team/brian2tools/tree/master/brian2tools/nmlexport,3,2
/brian-team/brian2tools/blob/master/README.rst,3,1
/brian-team/brian2tools/blob/master/.readthedocs.yml,3,1
