time_iso8601,forks_cumulative
2017-03-09 00:00:00+00:00,1
2017-04-24 00:00:00+00:00,2
2018-03-20 00:00:00+00:00,3
2018-07-18 00:00:00+00:00,4
2018-10-11 00:00:00+00:00,5
2020-03-26 00:00:00+00:00,6
2021-03-24 00:00:00+00:00,7
2022-03-11 00:00:00+00:00,8
2023-02-21 00:00:00+00:00,9
2023-02-22 00:00:00+00:00,10
2023-04-18 00:00:00+00:00,11
2024-01-07 00:00:00+00:00,12
2025-02-05 00:00:00+00:00,13
