time_iso8601,stars_cumulative
2017-10-27 00:00:00+00:00,1
2019-06-06 00:00:00+00:00,2
2019-11-02 00:00:00+00:00,3
2020-06-16 00:00:00+00:00,4
2020-06-18 00:00:00+00:00,5
2020-07-02 00:00:00+00:00,6
2020-08-07 00:00:00+00:00,7
2020-09-12 00:00:00+00:00,8
2020-11-11 00:00:00+00:00,9
2020-11-24 00:00:00+00:00,10
2021-01-20 00:00:00+00:00,11
2024-03-12 00:00:00+00:00,12
2024-07-06 00:00:00+00:00,13
2024-12-28 00:00:00+00:00,14
2025-01-12 00:00:00+00:00,15
2025-02-01 00:00:00+00:00,16
