time_iso8601,stars_cumulative
2018-03-08 00:00:00+00:00,162
2018-03-13 00:00:00+00:00,163
2018-03-19 00:00:00+00:00,164
2018-03-20 00:00:00+00:00,165
2018-03-21 00:00:00+00:00,166
2018-03-23 00:00:00+00:00,167
2018-03-29 00:00:00+00:00,169
2018-04-09 00:00:00+00:00,171
2018-04-13 00:00:00+00:00,173
2018-04-17 00:00:00+00:00,174
2018-04-18 00:00:00+00:00,175
2018-05-05 00:00:00+00:00,176
2018-05-13 00:00:00+00:00,177
2018-05-14 00:00:00+00:00,178
2018-05-15 00:00:00+00:00,179
2018-05-26 00:00:00+00:00,180
2018-05-28 00:00:00+00:00,181
2018-05-29 00:00:00+00:00,182
2018-05-31 00:00:00+00:00,183
2018-06-03 00:00:00+00:00,184
2018-06-08 00:00:00+00:00,185
2018-06-11 00:00:00+00:00,186
2018-06-12 00:00:00+00:00,187
2018-06-21 00:00:00+00:00,189
2018-06-26 00:00:00+00:00,190
2018-07-03 00:00:00+00:00,192
2018-07-05 00:00:00+00:00,193
2018-07-20 00:00:00+00:00,194
2018-07-21 00:00:00+00:00,195
2018-07-28 00:00:00+00:00,196
2018-07-29 00:00:00+00:00,197
2018-08-02 00:00:00+00:00,198
2018-08-04 00:00:00+00:00,199
2018-08-19 00:00:00+00:00,200
2018-08-23 00:00:00+00:00,201
2018-08-24 00:00:00+00:00,202
2018-08-28 00:00:00+00:00,203
2018-09-05 00:00:00+00:00,204
2018-09-15 00:00:00+00:00,205
2018-09-19 00:00:00+00:00,208
2018-09-20 00:00:00+00:00,209
2018-09-22 00:00:00+00:00,210
2018-09-29 00:00:00+00:00,211
2018-10-04 00:00:00+00:00,212
2018-10-10 00:00:00+00:00,213
2018-10-11 00:00:00+00:00,214
2018-10-12 00:00:00+00:00,215
2018-10-22 00:00:00+00:00,217
2018-10-24 00:00:00+00:00,218
2018-10-25 00:00:00+00:00,219
2018-11-09 00:00:00+00:00,220
2018-11-12 00:00:00+00:00,221
2018-11-16 00:00:00+00:00,222
2018-11-17 00:00:00+00:00,223
2018-11-21 00:00:00+00:00,224
2018-11-23 00:00:00+00:00,225
2018-11-30 00:00:00+00:00,226
2018-12-01 00:00:00+00:00,227
2018-12-09 00:00:00+00:00,228
2018-12-12 00:00:00+00:00,230
2018-12-13 00:00:00+00:00,231
2018-12-16 00:00:00+00:00,232
2018-12-20 00:00:00+00:00,233
2018-12-28 00:00:00+00:00,234
2019-01-02 00:00:00+00:00,235
2019-01-03 00:00:00+00:00,236
2019-01-05 00:00:00+00:00,237
2019-01-06 00:00:00+00:00,238
2019-01-12 00:00:00+00:00,239
2019-01-17 00:00:00+00:00,240
2019-01-18 00:00:00+00:00,241
2019-01-22 00:00:00+00:00,243
2019-01-28 00:00:00+00:00,244
2019-01-31 00:00:00+00:00,245
2019-02-01 00:00:00+00:00,246
2019-02-07 00:00:00+00:00,247
2019-02-11 00:00:00+00:00,248
2019-02-16 00:00:00+00:00,249
2019-02-21 00:00:00+00:00,251
2019-02-23 00:00:00+00:00,252
2019-02-27 00:00:00+00:00,253
2019-02-28 00:00:00+00:00,254
2019-03-01 00:00:00+00:00,255
2019-03-02 00:00:00+00:00,256
2019-03-09 00:00:00+00:00,258
2019-03-17 00:00:00+00:00,259
2019-03-18 00:00:00+00:00,260
2019-03-19 00:00:00+00:00,261
2019-03-26 00:00:00+00:00,262
2019-03-30 00:00:00+00:00,263
2019-04-12 00:00:00+00:00,264
2019-04-14 00:00:00+00:00,265
2019-04-24 00:00:00+00:00,266
2019-05-07 00:00:00+00:00,267
2019-05-10 00:00:00+00:00,268
2019-05-20 00:00:00+00:00,270
2019-05-21 00:00:00+00:00,271
2019-05-22 00:00:00+00:00,272
2019-05-31 00:00:00+00:00,273
2019-06-07 00:00:00+00:00,274
2019-06-09 00:00:00+00:00,275
2019-06-14 00:00:00+00:00,276
2019-06-18 00:00:00+00:00,277
2019-06-23 00:00:00+00:00,278
2019-06-28 00:00:00+00:00,280
2019-07-06 00:00:00+00:00,281
2019-07-07 00:00:00+00:00,282
2019-07-08 00:00:00+00:00,283
2019-07-09 00:00:00+00:00,284
2019-07-13 00:00:00+00:00,285
2019-07-14 00:00:00+00:00,286
2019-07-18 00:00:00+00:00,287
2019-07-23 00:00:00+00:00,288
2019-07-24 00:00:00+00:00,289
2019-07-27 00:00:00+00:00,290
2019-07-30 00:00:00+00:00,291
2019-08-01 00:00:00+00:00,292
2019-08-03 00:00:00+00:00,293
2019-08-07 00:00:00+00:00,294
2019-08-12 00:00:00+00:00,295
2019-08-15 00:00:00+00:00,296
2019-08-16 00:00:00+00:00,297
2019-08-20 00:00:00+00:00,298
2019-08-24 00:00:00+00:00,299
2019-09-03 00:00:00+00:00,300
2019-09-06 00:00:00+00:00,301
2019-09-16 00:00:00+00:00,302
2019-09-19 00:00:00+00:00,303
2019-09-29 00:00:00+00:00,304
2019-10-04 00:00:00+00:00,305
2019-10-07 00:00:00+00:00,306
2019-10-11 00:00:00+00:00,307
2019-10-14 00:00:00+00:00,308
2019-10-15 00:00:00+00:00,309
2019-10-16 00:00:00+00:00,311
2019-10-17 00:00:00+00:00,312
2019-10-19 00:00:00+00:00,313
2019-10-24 00:00:00+00:00,314
2019-10-31 00:00:00+00:00,315
2019-11-01 00:00:00+00:00,316
2019-11-06 00:00:00+00:00,317
2019-11-07 00:00:00+00:00,318
2019-11-10 00:00:00+00:00,319
2019-11-11 00:00:00+00:00,320
2019-11-14 00:00:00+00:00,321
2019-11-16 00:00:00+00:00,322
2019-11-20 00:00:00+00:00,323
2019-11-21 00:00:00+00:00,324
2019-11-22 00:00:00+00:00,325
2019-11-29 00:00:00+00:00,327
2019-12-02 00:00:00+00:00,328
2019-12-04 00:00:00+00:00,329
2019-12-12 00:00:00+00:00,330
2019-12-13 00:00:00+00:00,331
2019-12-16 00:00:00+00:00,332
2019-12-17 00:00:00+00:00,333
2019-12-19 00:00:00+00:00,335
2019-12-28 00:00:00+00:00,337
2020-01-09 00:00:00+00:00,341
2020-01-10 00:00:00+00:00,343
2020-01-11 00:00:00+00:00,345
2020-01-13 00:00:00+00:00,346
2020-01-18 00:00:00+00:00,348
2020-01-19 00:00:00+00:00,349
2020-01-20 00:00:00+00:00,350
2020-01-21 00:00:00+00:00,351
2020-01-24 00:00:00+00:00,352
2020-01-28 00:00:00+00:00,354
2020-01-29 00:00:00+00:00,355
2020-02-05 00:00:00+00:00,356
2020-02-07 00:00:00+00:00,357
2020-02-10 00:00:00+00:00,358
2020-02-12 00:00:00+00:00,359
2020-02-13 00:00:00+00:00,360
2020-02-16 00:00:00+00:00,361
2020-02-17 00:00:00+00:00,362
2020-02-18 00:00:00+00:00,363
2020-02-20 00:00:00+00:00,364
2020-02-21 00:00:00+00:00,365
2020-02-22 00:00:00+00:00,366
2020-02-25 00:00:00+00:00,367
2020-02-27 00:00:00+00:00,368
2020-03-03 00:00:00+00:00,369
2020-03-06 00:00:00+00:00,370
2020-03-09 00:00:00+00:00,373
2020-03-12 00:00:00+00:00,374
2020-03-13 00:00:00+00:00,375
2020-03-14 00:00:00+00:00,376
2020-03-15 00:00:00+00:00,377
2020-03-16 00:00:00+00:00,378
2020-03-17 00:00:00+00:00,379
2020-03-20 00:00:00+00:00,380
2020-03-22 00:00:00+00:00,381
2020-03-24 00:00:00+00:00,382
2020-04-01 00:00:00+00:00,383
2020-04-03 00:00:00+00:00,384
2020-04-05 00:00:00+00:00,387
2020-04-07 00:00:00+00:00,388
2020-04-11 00:00:00+00:00,391
2020-04-13 00:00:00+00:00,392
2020-04-14 00:00:00+00:00,393
2020-04-15 00:00:00+00:00,394
2020-04-17 00:00:00+00:00,396
2020-04-18 00:00:00+00:00,399
2020-04-25 00:00:00+00:00,400
2020-04-29 00:00:00+00:00,401
2020-04-30 00:00:00+00:00,402
2020-05-01 00:00:00+00:00,403
2020-05-06 00:00:00+00:00,404
2020-05-07 00:00:00+00:00,405
2020-05-14 00:00:00+00:00,406
2020-05-18 00:00:00+00:00,407
2020-05-19 00:00:00+00:00,408
2020-05-22 00:00:00+00:00,409
2020-05-23 00:00:00+00:00,410
2020-06-04 00:00:00+00:00,411
