time_iso8601,forks_cumulative
2021-04-08 00:00:00+00:00,152
2021-05-07 00:00:00+00:00,153
2021-06-02 00:00:00+00:00,154
2021-06-07 00:00:00+00:00,155
2021-06-10 00:00:00+00:00,156
2021-07-08 00:00:00+00:00,157
2021-07-28 00:00:00+00:00,158
2021-07-30 00:00:00+00:00,159
2021-09-17 00:00:00+00:00,160
2021-09-29 00:00:00+00:00,161
2021-10-05 00:00:00+00:00,162
2021-10-14 00:00:00+00:00,163
2021-10-20 00:00:00+00:00,164
2021-11-18 00:00:00+00:00,165
2021-11-28 00:00:00+00:00,166
2021-12-05 00:00:00+00:00,167
2021-12-09 00:00:00+00:00,169
2021-12-13 00:00:00+00:00,170
2021-12-15 00:00:00+00:00,171
2022-01-07 00:00:00+00:00,172
2022-01-28 00:00:00+00:00,173
2022-02-17 00:00:00+00:00,174
2022-03-04 00:00:00+00:00,175
2022-03-11 00:00:00+00:00,177
2022-03-15 00:00:00+00:00,178
2022-04-05 00:00:00+00:00,179
2022-04-08 00:00:00+00:00,180
2022-04-14 00:00:00+00:00,181
2022-04-17 00:00:00+00:00,182
2022-04-29 00:00:00+00:00,183
2022-05-05 00:00:00+00:00,184
2022-05-10 00:00:00+00:00,185
2022-05-14 00:00:00+00:00,186
2022-06-03 00:00:00+00:00,187
2022-07-15 00:00:00+00:00,188
2022-08-19 00:00:00+00:00,189
2022-08-24 00:00:00+00:00,190
2022-09-02 00:00:00+00:00,191
2022-09-16 00:00:00+00:00,192
2022-09-22 00:00:00+00:00,193
2022-09-29 00:00:00+00:00,194
2022-12-25 00:00:00+00:00,195
2023-01-18 00:00:00+00:00,196
2023-02-08 00:00:00+00:00,197
2023-02-21 00:00:00+00:00,198
2023-02-22 00:00:00+00:00,199
2023-03-05 00:00:00+00:00,200
2023-04-28 00:00:00+00:00,201
2023-05-01 00:00:00+00:00,202
2023-06-07 00:00:00+00:00,203
2023-07-09 00:00:00+00:00,204
2023-09-18 00:00:00+00:00,205
2023-11-06 00:00:00+00:00,206
2024-01-07 00:00:00+00:00,207
2024-03-02 00:00:00+00:00,208
2024-05-02 00:00:00+00:00,209
2024-06-05 00:00:00+00:00,210
2024-07-02 00:00:00+00:00,211
2024-07-05 00:00:00+00:00,212
2024-07-14 00:00:00+00:00,213
2024-09-13 00:00:00+00:00,214
2024-09-21 00:00:00+00:00,215
2024-10-01 00:00:00+00:00,216
2024-11-13 00:00:00+00:00,217
2024-11-28 00:00:00+00:00,218
2024-12-02 00:00:00+00:00,219
2025-01-03 00:00:00+00:00,220
2025-01-23 00:00:00+00:00,221
2025-01-31 00:00:00+00:00,222
2025-02-02 00:00:00+00:00,223
2025-02-26 00:00:00+00:00,224
